分类,英文标签,中文翻译
传统媒介,acrylic_paint_(medium),亚克力画风
传统媒介,crayon_drawing,蜡笔图
传统媒介,ink,墨水
传统媒介,ink_(medium),墨水（媒介）
传统媒介,ink_stain,墨水染色
传统媒介,ink_stamp,墨印章
传统媒介,ink_tank_(splatoon),颜料罐 (喷射战士)
传统媒介,ink_wash_painting,墨水绘画
其他风格,drawing,绘画
其他风格,drawing_board,图板
其他风格,drawing_equipment,绘图设备
其他风格,one-hour_drawing_challenge,一小时的绘画挑战
其他风格,sketch,素描
其他风格,sketching,素描
数字/风格属性,photorealistic,很像照片的画
数字/风格属性,realistic,写实的
数字/风格属性,surreal,怪诞的
漫画动画,comic,漫画
漫画动画,comic_cover,漫画封面
漫画动画,comic_sans,漫画 sans
漫画动画,horizontal_comic,水平漫画
漫画动画,right-to-left_comic,左右漫画
漫画动画,silent_comic,默剧漫画
漫画动画,vertical_comic,垂直漫画
线稿/渲染,aqua_outline,Aqua 大纲
线稿/渲染,chalk_outline,粉笔勾画
线稿/渲染,lineart,素线画
线稿/渲染,no_lineart,几乎没用勾线的画
线稿/渲染,outline,角色形象有描边
艺术流派,art_deco,艺术装饰
艺术流派,art_nouveau,新艺术
艺术流派,cubism,立体主义
艺术流派,impressionism,印象派
艺术流派,minimalism,极简主义
艺术流派,pop_art,流行艺术
颜色主题,pink_theme,粉色主题
