分类,英文标签,中文翻译
基础,1girl,1个女性
基础,2girls,2个女性
基础,1boy,1个男性
基础,2boys,2个男性
基础,female_child,女童
基础,male_child,男童
基础,teen_girl,少女
基础,teen_boy,少年
基础,young_woman,年轻女性
基础,young_man,年轻男性
基础,adult_woman,成年女性
基础,adult_man,成年男性
基础,middle_aged_woman,中年女性
基础,middle_aged_man,中年男性
基础,elderly_woman,老年女性
基础,elderly_man,老年男性
头发（颜色/长度/发型）,black_hair,黑发
头发（颜色/长度/发型）,blonde_hair,金发
头发（颜色/长度/发型）,brown_hair,棕发
头发（颜色/长度/发型）,blue_hair,蓝发
头发（颜色/长度/发型）,red_hair,红发
头发（颜色/长度/发型）,purple_hair,紫发
头发（颜色/长度/发型）,pink_hair,粉发
头发（颜色/长度/发型）,silver_hair,银发
头发（颜色/长度/发型）,white_hair,白发
头发（颜色/长度/发型）,grey_hair,灰发
头发（颜色/长度/发型）,green_hair,绿发
头发（颜色/长度/发型）,aqua_hair,水蓝色头发
头发（颜色/长度/发型）,absurdly_long_hair,超长头发
头发（颜色/长度/发型）,long_hair,长发
头发（颜色/长度/发型）,medium_hair,中长发
头发（颜色/长度/发型）,short_hair,短发
头发（颜色/长度/发型）,wavy_hair,波浪发
头发（颜色/长度/发型）,curly_hair,卷发
头发（颜色/长度/发型）,straight_hair,直发
头发（颜色/长度/发型）,back_hair,背后头发
头发（颜色/长度/发型）,hair_over_eyes,盖眼头发
头发（颜色/长度/发型）,bangs,刘海
头发（颜色/长度/发型）,blunt_bangs,平刘海
头发（颜色/长度/发型）,bob_cut,波波头
头发（颜色/长度/发型）,hime_cut,姬发式
头发（颜色/长度/发型）,ponytail,马尾
头发（颜色/长度/发型）,side_ponytail,侧马尾
头发（颜色/长度/发型）,twintails,双马尾
头发（颜色/长度/发型）,braid,辫子
头发（颜色/长度/发型）,single_braid,单辫
头发（颜色/长度/发型）,double_braid,双辫
头发（颜色/长度/发型）,updo,盘发
头发（颜色/长度/发型）,antenna_hair,呆毛
头发（颜色/长度/发型）,buzz_cut,平头
头发（颜色/长度/发型）,receding_hairline,发际线后移
头发（颜色/长度/发型）,widow's_peak,美人尖
头发（颜色/长度/发型）,bald,秃头
头发（颜色/长度/发型）,auburn_hair,赤褐色头发
头发（颜色/长度/发型）,chestnut_hair,栗色头发
头发（颜色/长度/发型）,ombre_hair,渐变发色
头发（颜色/长度/发型）,highlighted_hair,挑染头发
头发（颜色/长度/发型）,streaked_hair,条纹染发
头发（颜色/长度/发型）,two_tone_hair,双拼发色
头发（颜色/长度/发型）,multicolored_hair,多彩发色
头发（颜色/长度/发型）,frizzy_hair,毛躁发
头发（颜色/长度/发型）,kinky_hair,粗卷发
头发（颜色/长度/发型）,thick_hair,浓密头发
