分类,英文标签,中文翻译
暴露/状态,accidental_exposure,意外暴露
性行为,after_anal,肛交后
体液/高潮,after_ejaculation,射精后
性行为,after_fellatio,口交后
性行为,after_handjob,手枪之后
非自愿/暴力,after_rape,强奸后
性行为,after_sex,事后
性行为,after_vaginal,事后阴道特写
身体部位,alternate_breast_size,贫乳化
性行为,anal,肛门
性行为,anal_ball_wear,肛门磨损
性行为,anal_beads,肛珠
性行为,anal_fingering,手指刺激肛门
性行为,anal_fisting,肛门拳头
性行为,anal_fluid,肛门液
性行为,anal_hair,肛毛
性行为,anal_hook,肛门钩
性行为,anal_object_insertion,肛门物体插入
性行为,anal_tail,肛尾
性行为,anal_wine,肛门酒
性行为,angry_sex,愤怒的性爱
身体部位,animal_between_breasts,乳房之间的动物
身体部位,animal_on_ass,动物在屁股上
兽交/动物,animal_penis,动物阴茎
性行为,anus,肛门
性行为,anus_cutout,肛门切口
暴露/状态,anus_peek,吸睛的肛门
性行为,anus_piercing,肛门穿孔
身体部位,areola_measuring,乳晕测量
身体部位,areola_piercing,乳晕刺穿
身体部位,areola_slip,乳晕走光
身体部位,arm_between_breasts,两只乳房之间的臂
性行为,armpit_sex,腋下性爱
身体部位,arms_under_breasts,双手托胸
其他R18,artificial_vagina,飞机杯
身体部位,ascot_between_breasts,乳房之间的 acot
身体部位,ass,屁股
身体部位,ass-to-ass,屁股贴屁股
身体部位,ass-to-breast,屁股到胸
身体部位,ass_biting,屁股咬
身体部位,ass_cutout,露出屁股的服饰
身体部位,ass_expansion,屁股扩展
身体部位,ass_focus,屁股为焦点
身体部位,ass_freckles,屁股雀斑
身体部位,ass_grab,抓着屁股
身体部位,ass_hair,屁股头发
身体部位,ass_mousepad,屁股慕斯
身体部位,ass_press,屁股按
身体部位,ass_shake,晃屁股
身体部位,ass_smack,屁股 sm
身体部位,ass_support,托着屁股
身体部位,ass_visible_through_thighs,正面可见的屁股
身体部位,ass_worship,屁股崇拜
暴露/状态,assisted_exposure,剥开衣服
身体部位,asymmetrical_breasts,不对称乳房
身体部位,bandaid_on_breast,乳房上的创可贴
其他R18,bandaid_on_pussy,阴部贴着创可贴
身体部位,bandaids_on_nipples,乳头贴着创可贴
身体部位,bare_pectorals,裸露的胸部
BDSM/束缚,bdsm,SM
性行为,bead_sex_machine,珠子机器
身体部位,between_breasts,乳沟里
身体部位,between_buttocks,在臀部之间
身体部位,between_pectorals,在胸部之间
身体部位,blood_on_breasts,乳房上的血液
BDSM/束缚,bondage,捆绑 play
BDSM/束缚,bondage_gear,束缚齿轮
BDSM/束缚,bondage_mittens,束缚手套
BDSM/束缚,bondage_outfit,束缚服
暴露/状态,bottomless,裸下半身
身体部位,bouncing_ass,弹跳屁股
身体部位,bouncing_breasts,乳摇
其他R18,bouncing_penis,弹跳阴茎
其他R18,bound_penis,绑定的阴茎
暴露/状态,bra_peek,微微露出胸罩
身体部位,breast_awe,乳房敬畏
身体部位,breast_band,乳房带
身体部位,breast_beam,乳房束
身体部位,breast_biting,隆胸
BDSM/束缚,breast_bondage,乳房绑缚
身体部位,breast_clinging,乳房固定
身体部位,breast_conscious,对胸部在意
身体部位,breast_contest,乳房比赛
身体部位,breast_curtain,胸帘
身体部位,breast_curtain_lift,胸帘升起
身体部位,breast_curtains,乳帘
身体部位,breast_cutout,乳房切口
身体部位,breast_drop,乳房下降
身体部位,breast_envy,胸围歧视
身体部位,breast_expansion,丰胸
身体部位,breast_focus,乳房聚焦
身体部位,breast_fondle,乳房抚摸
身体部位,breast_grab,揉胸
身体部位,breast_hold,抱着胸部
身体部位,breast_implants,乳房植入物
身体部位,breast_lift,托着胸部
身体部位,breast_massage,乳房按摩
体液/高潮,breast_milk,母乳
身体部位,breast_mousepad,乳房慕斯
身体部位,breast_padding,胸垫
身体部位,breast_piercing,乳房刺穿
身体部位,breast_pillow,乳房枕头
身体部位,breast_pinch,胸捏
身体部位,breast_pocket,乳袋
身体部位,breast_poke,戳胸
身体部位,breast_press,挤压胸部
身体部位,breast_pull,乳房拉
性器/玩具,breast_pump,吸奶器泵
身体部位,breast_punch,乳房打孔
身体部位,breast_reduction,乳房缩小
身体部位,breast_rest,搁着胸部
身体部位,breast_rings,乳腺环
身体部位,breast_size_switch,乳房尺寸开关
身体部位,breast_slap,胸巴
身体部位,breast_slip,胸部走光
身体部位,breast_smother,洗面奶
身体部位,breast_squeeze,从两侧挤胸
身体部位,breast_strap,胸带
身体部位,breast_sucking,吸奶
身体部位,breast_sucking_through_clothes,乳房吮吸衣服
身体部位,breast_suppress,手放在乳房上方
身体部位,breasts,乳房
身体部位,breasts_apart,向两侧摊开的乳房
身体部位,breasts_day,乳房日
身体部位,breasts_on_back,乳房背面
身体部位,breasts_on_head,压在头上的乳房
身体部位,breasts_on_shoulders,肩膀上的乳房
身体部位,breasts_on_table,桌子上的乳房
身体部位,breasts_on_tray,托盘上的乳房
身体部位,breasts_out,乳房露出
性行为,building_sex,建立性别
身体部位,bulge_to_ass,膨胀到屁股
性器/玩具,bunny_vibrator,兔子振动器
身体部位,bursting_ass,屁股爆裂
身体部位,bursting_breasts,包不住的巨乳
身体部位,bursting_pectorals,破裂的胸部
身体部位,butt_crack,股沟
身体部位,butt_plug,肛塞
身体部位,card_between_breasts,乳房之间的卡片
身体部位,carried_breast_rest,携带乳房休息
身体部位,cat_on_ass,猫在屁股上
其他R18,cat_penis,猫阴茎
性器/玩具,cellphone_vibrator,手机振动器
性行为,censored_anus,审查肛门
身体部位,censored_nipples,审查乳头
体液/高潮,censored_with_cum,对暨进行审查
身体部位,chain_between_breasts,乳房之间的链
身体部位,cheek-to-breast,脸颊至胸
身体部位,chisato_and_takina_kicking_each_other's_butt_(meme),Chisato 和 Takina 踢对方的屁股（模因）
身体部位,chocolate_on_ass,在屁股上巧克力
身体部位,chocolate_on_breasts,胸上的巧克力
身体部位,chocolate_on_pectorals,胸肌上的巧克力
其他R18,chocolate_on_penis,巧克力在阴茎上
其他R18,chocolate_on_pussy,猫上的巧克力
身体部位,cigarette_butt,烟头
BDSM/束缚,clitoris_leash,阴蒂皮带
暴露/状态,clitoris_peek,Clitoris Peek
性行为,clothed_after_sex,性爱后穿
暴露/状态,clothed_female_nude_female,穿着衣服的女性和裸女
暴露/状态,clothed_female_nude_male,穿着衣服的女性和裸男
暴露/状态,clothed_male_nude_female,穿着衣服的男性和裸女
暴露/状态,clothed_male_nude_male,穿着男性裸体男性
性行为,clothed_sex,着衣性交
身体部位,clothes_between_breasts,衣服勒在乳沟里
其他R18,cock_docking,公鸡对接
其他R18,cock_ring,公鸡戒指
体液/高潮,colored_cum,颜色暨
身体部位,colored_nipples,彩色乳头
其他R18,colored_pussy,彩色猫
暴露/状态,completely_nude,完全裸体
性器/玩具,condom_on_nipples,乳房上的避孕套
性器/玩具,condom_on_penis,戴避孕套
身体部位,convenient_breasts,方便的乳房
性行为,cooperative_handjob,合作手枪
