分类,英文标签,中文翻译
帽饰,hat,帽子
外套,cape,披风
外套,coat,外套
鞋靴,boots,长靴
连衣裙,dress,连衣裙
裤类,pants,裤子
上衣,shirt,衬衫
鞋靴,shoes,鞋子
裙类,skirt,短裙
袜/腿部,socks,袜子
外套,jacket,夹克
外套,capelet,披肩
上衣,t-shirt,T 恤
民族/主题服,uniform,制服
外套,overcoat,大衣
内衣/泳装,underwear,内衣
民族/主题服,waistcoat,马甲
上衣,sweatshirt,长袖运动卫衣
帽饰,in_hat,帽子
帽饰,cat_hat,猫耳帽子
帽饰,cow_hat,牛帽
帽饰,dog_hat,狗帽
帽饰,eel_hat,鳗鱼帽
帽饰,fez_hat,Fez 帽子
帽饰,fox_hat,狐狸帽子
帽饰,fur_hat,毛皮帽子
帽饰,mob_cap,头巾式室内女帽
帽饰,sun_hat,太阳帽
上衣,top_hat,礼帽
帽饰,zun_hat,Zun 帽子
帽饰,bear_hat,熊帽
帽饰,beer_hat,啤酒帽
帽饰,bird_hat,鸟帽
帽饰,bowl_hat,碗状帽子
帽饰,cake_hat,蛋糕帽
帽饰,chef_hat,厨师帽
帽饰,fish_hat,鱼帽
帽饰,flat_cap,平顶帽
帽饰,frog_hat,青蛙帽子
外套,fur_cape,皮斗篷
外套,fur_coat,毛皮大衣
帽饰,guan_hat,关帽子
毛衣/针织,knit_hat,针织帽子
帽饰,leaf_hat,叶帽
帽饰,mini_hat,迷你帽子
帽饰,rice_hat,米帽
帽饰,swim_cap,泳帽
帽饰,wolf_hat,狼帽
上衣,bow_shirt,弓衬衫
裙类,bow_skirt,弓裙
帽饰,bunny_hat,兔子帽子
帽饰,crown_hat,皇冠帽
帽饰,fruit_hat,水果帽
鞋靴,fur_boots,矮跟休闲皮草靴
上衣,fur_shirt,皮毛衬衫
裙类,fur_skirt,皮裙
裤类,gym_pants,健身裤
上衣,gym_shirt,体操服
外套,kaga_cape,卡加开普
帽饰,large_hat,大帽子
外套,long_coat,长外套
帽饰,nurse_cap,护士帽
帽饰,panda_hat,熊猫帽子
帽饰,paper_hat,纸帽
帽饰,party_hat,派对帽
鞋靴,paw_shoes,兽爪鞋
帽饰,santa_hat,圣诞帽
帽饰,shako_cap,乐队礼帽
帽饰,sheep_hat,绵羊帽
鞋靴,ski_boots,滑雪靴
帽饰,skull_cap,头骨帽
帽饰,squid_hat,鱿鱼帽
帽饰,straw_hat,草帽
帽饰,tiger_hat,老虎帽
鞋靴,toe_shoes,脚趾鞋
袜/腿部,toe_socks,脚趾袜
帽饰,tokin_hat,头襟
帽饰,tulip_hat,郁金香帽子
鞋靴,ugg_boots,UGG 雪地靴
帽饰,visor_cap,遮阳帽
帽饰,whale_hat,鲸鱼帽
帽饰,witch_hat,女巫帽
帽饰,animal_hat,动物主题帽饰
帽饰,argyle_hat,Argyle 帽子
上衣,arts_shirt,艺术衬衫
上衣,band_shirt,乐队衬衫
鞋靴,belt_boots,皮带靴
帽饰,boater_hat,划船帽
帽饰,bomber_hat,轰炸机帽子
帽饰,boonie_hat,Boonie Hat
帽饰,bottle_cap,瓶盖
帽饰,bowler_hat,投球帽
帽饰,bucket_hat,水桶帽
帽饰,cabbie_hat,报童帽
帽饰,cloche_hat,帽子帽
帽饰,dragon_hat,龙帽
帽饰,flower_hat,花帽
外套,fur_jacket,皮夹克
鞋靴,hoof_shoes,蹄鞋
裙类,hoop_skirt,箍裙
帽饰,horned_hat,角帽
鞋靴,hull_shoes,船体鞋
帽饰,jester_cap,小丑帽
鞋靴,knee_boots,及膝靴
连衣裙,lace_dress,蕾丝连衣裙
裙类,lace_skirt,花边裙
裙类,leaf_skirt,叶裙
连衣裙,long_dress,长连衣裙
上衣,long_shirt,长衬衫
裙类,long_skirt,长裙
帽饰,peaked_cap,类似警帽的帽子
帽饰,pillow_hat,睡帽
帽饰,pirate_hat,海盗帽
外套,plaid_coat,格子外套
帽饰,pointy_hat,尖头帽子
帽饰,police_hat,警察帽子
上衣,polo_shirt,马球衫
外套,print_cape,打印斗篷
外套,print_coat,打印外套
帽饰,ribbed_hat,肋骨帽子
民族/主题服,s4_uniform,S4 均匀
帽饰,sailor_hat,水手帽
帽饰,school_hat,通学帽
帽饰,shared_hat,共同的帽子
帽饰,shower_cap,淋浴帽
帽饰,slouch_hat,Slouch 帽子
上衣,slut_shirt,荡妇衬衫
鞋靴,snow_boots,雪靴
外套,straw_cape,稻草斗篷
鞋靴,tabi_boots,塔布靴
连衣裙,taut_dress,绷紧的连衣裙
裤类,taut_pants,拉紧的裤子
上衣,taut_shirt,绷紧的衬衫
裙类,taut_skirt,拉紧裙子
连衣裙,tied_dress,绑衣
上衣,tied_shirt,把衣服 (衣角和下摆) 打结
裙类,tied_skirt,绑裙
连衣裙,tube_dress,管连衣裙
袜/腿部,tube_socks,管袜
外套,waist_cape,穿在腰部的小披风
帽饰,winged_hat,有翼的帽子
帽饰,wizard_hat,法师帽
裤类,yoga_pants,瑜珈裤
鞋靴,ankle_boots,踝靴
袜/腿部,ankle_socks,踝袜
外套,argyle_coat,阿盖尔外套
帽饰,aviator_cap,飞行员帽
裤类,baggy_pants,宽松的裤子
袜/腿部,bobby_socks,美式短袜
袜/腿部,bow_legwear,带蝴蝶结的裤袜
裤类,capri_pants,七分裤
裤类,cargo_pants,货物裤
连衣裙,china_dress,中国服饰
帽饰,chinese_hat,中国帽子
连衣裙,denim_dress,牛仔连衣裙
上衣,denim_shirt,牛仔衬衫
裙类,denim_skirt,牛仔裙
